match,artist,external,points,Genre,followingCount,Film,playcount,id,Story,thumbnailUrl,department,displayName,Budget,likedCount,Rotten Tomatoes,visible,enabled,level,name,Profit,followerCount,Worldwide Gross,externalContributor,likeCount
351,greg.crowe,false,16859,IT,163,greg.crowe,351,3511,IT,https://brewspace.jiveland.com/api/core/v3/people/3511/avatar,IT,Greg Crowe,16859,153,198,true,true,Level 5,greg.crowe,153,115,153,false,198
121,jason.hansen,false,11350,Hosting,14,jason.hansen,121,2924,Hosting,https://brewspace.jiveland.com/api/core/v3/people/2924/avatar,Hosting,Jason Hansen,11350,35,86,true,true,Level 4,jason.hansen,35,53,35,false,86
68,aaron.malenfant,false,9634,Engineering,91,aaron.malenfant,68,3465,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3465/avatar,Engineering,Aaron Malenfant,9634,56,12,true,true,Level 4,aaron.malenfant,56,89,56,false,12
115,felix.rubio,false,11212,Sales,845,felix.rubio,115,4540,Sales,https://brewspace.jiveland.com/api/core/v3/people/4540/avatar,Sales,Felix Rubio,11212,37,78,true,true,Level 4,felix.rubio,37,366,37,false,78
2,jarret.shaeffer,false,2832,Inside Sales - US,61,jarret.shaeffer,2,5532,Inside Sales - US,https://brewspace.jiveland.com/api/core/v3/people/5532/avatar,Inside Sales - US,Jarret Shaeffer,2832,2,0,true,true,Level 3,jarret.shaeffer,2,40,2,false,0
40,bob.indihar,false,6090,Sales,57,bob.indihar,40,5834,Sales,https://brewspace.jiveland.com/api/core/v3/people/5834/avatar,Sales,Bob Indihar,6090,27,13,true,true,Level 4,bob.indihar,27,77,27,false,13
17,vince.welter,false,3860,Professional Services,49,vince.welter,17,4392,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/4392/avatar,Professional Services,Vince Welter,3860,11,6,true,true,Level 3,vince.welter,11,41,11,false,6
7,ignacio.erdocia,false,1882,Engineering,38,ignacio.erdocia,7,5330,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5330/avatar,Engineering,Ignacio Erdocia,1882,0,7,true,true,Level 2,ignacio.erdocia,0,24,0,false,7
55,belinda.joseph,false,9159,Marketing,29,belinda.joseph,55,5788,Marketing,https://brewspace.jiveland.com/api/core/v3/people/5788/avatar,Marketing,Belinda Joseph,9159,52,3,true,true,Level 4,belinda.joseph,52,30,52,false,3
17,matthew.damante,false,3795,Professional Services,51,matthew.damante,17,4605,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/4605/avatar,Professional Services,Matthew Damante,3795,9,8,true,true,Level 3,matthew.damante,9,43,9,false,8
243,emily.harsh,false,17537,Professional Services,145,emily.harsh,243,2520,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/2520/avatar,Professional Services,Emily Harsh,17537,90,153,true,true,Level 5,emily.harsh,90,122,90,false,153
56,brian.edelschick,false,11055,Hosting,87,brian.edelschick,56,4190,Hosting,https://brewspace.jiveland.com/api/core/v3/people/4190/avatar,Hosting,Brian Edelschick,11055,31,25,true,true,Level 4,brian.edelschick,31,94,31,false,25
130,matt.gradin,false,6167,HR,48,matt.gradin,130,2822,HR,https://brewspace.jiveland.com/api/core/v3/people/2822/avatar,HR,Matt Gradin,6167,117,13,true,true,Level 4,matt.gradin,117,73,117,false,13
25,allan.garnier,false,3399,Marketing,43,allan.garnier,25,5586,Marketing,https://brewspace.jiveland.com/api/core/v3/people/5586/avatar,Marketing,Allan Garnier,3399,16,9,true,true,Level 3,allan.garnier,16,28,16,false,9
38,derek,false,7602,Sales Engineers,91,derek,38,2035,Sales Engineers,https://brewspace.jiveland.com/api/core/v3/people/2035/avatar,Sales Engineers,Derek DeMoro,7602,34,4,true,true,Level 4,derek,34,127,34,false,4
